Pokémon,Dex,Icons,Shiny,Male,Female,Type 1,Type 2,Hatch Steps,Egg Group 1,Egg Group 2,Ability 1,Ability 2,Hidden Ability,Special Ability,Egg Moves,,,,,,,,,,,,,,,,Abilities,Nature,Stat Up,Stat Down,Types,Sprite,Moves,Type,Ball,Big,Sprite,Item,Sprite,Shiny,Gender,Stat,31,<31,Event Name,Event Link
Fletchling,661,,,♂ 50%,♀ 50%,Normal,Flying,"3,840",Flying,----,Big Pecks,----,Gale Wings,----,Quick Guard,Snatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fletchinder,662,,,♂ 50%,♀ 50%,Fire,Flying,"3,840",Flying,----,Flame Body,----,Gale Wings,----,Quick Guard,Snatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talonflame,663,,,♂ 50%,♀ 50%,Fire,Flying,"3,840",Flying,----,Flame Body,----,Gale Wings,----,Quick Guard,Snatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scatterbug,664,,,♂ 50%,♀ 50%,Bug,----,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spewpa,665,,,♂ 50%,♀ 50%,Bug,----,"3,840",Bug,----,Shed Skin,----,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Archipelago,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Continental,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Elegant,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Garden,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-HighPlains,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-IcySnow,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Jungle,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Marine,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Meadow,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Modern,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Monsoon,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Ocean,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Polar,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-River,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Sandstorm,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Savanna,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Sun,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Tundra,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Fancy,666,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon-Pokéball,666,vivillon-poke-ball,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Shield Dust,Compound Eyes,Friend Guard,----,Rage Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litleo,667,,,♂ 25%,♀ 75%,Fire,Normal,"5,120",Field,----,Rivalry,Unnerve,Moxie,----,Entrainment,Fire Spin,Flare Blitz,Snatch,Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyroar ♂,668,,,♂ 25%,♀ 75%,Fire,Normal,"5,120",Field,----,Rivalry,Unnerve,Moxie,----,Entrainment,Fire Spin,Flare Blitz,Snatch,Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyroar ♀,668,,,♂ 25%,♀ 75%,Fire,Normal,"5,120",Field,----,Rivalry,Unnerve,Moxie,----,Entrainment,Fire Spin,Flare Blitz,Snatch,Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Flabébé,669,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Flabébé,669,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Flabébé,669,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Flabébé,669,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Flabébé,669,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Floette,670,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Floette,670,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Floette,670,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Floette,670,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Floette,670,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eternal Floette,670,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Florges,671,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Florges,671,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Florges,671,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Florges,671,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Florges,671,,,♂ 0%,♀ 100%,Fairy,----,"5,120",Fairy,----,Flower Veil,----,Symbiosis,----,Camouflage,Captivate,Copycat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skiddo,672,,,♂ 50%,♀ 50%,Grass,----,"5,120",Field,----,Sap Sipper,----,Grass Pelt,----,Defense Curl,Rollout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gogoat,673,,,♂ 50%,♀ 50%,Grass,----,"5,120",Field,----,Sap Sipper,----,Grass Pelt,----,Defense Curl,Rollout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancham,674,,,♂ 50%,♀ 50%,Fighting,----,"6,240",Field,Human-Like,Iron Fist,Mold Breaker,Scrappy,----,Foul Play,Me First,Power Trip,Quick Guard,Storm Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pangoro,675,,,♂ 50%,♀ 50%,Fighting,Dark,"6,240",Field,Human-Like,Iron Fist,Mold Breaker,Scrappy,----,Foul Play,Me First,Power Trip,Quick Guard,Storm Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furfrou,676,,,♂ 50%,♀ 50%,Normal,----,"5,120",Field,----,Fur Coat,----,----,----,Captivate,Mimic,Refresh,Role Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espurr,677,,,♂ 50%,♀ 50%,Psychic,----,"5,120",Field,----,Keen Eye,Infiltrator,Own Tempo,----,Assist,Barrier,Trick,Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowstic ♂,678,,,♂ 50%,♀ 50%,Psychic,----,"5,120",Field,----,Keen Eye,Infiltrator,Prankster,----,Assist,Barrier,Trick,Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowstic ♀,678,,,♂ 50%,♀ 50%,Psychic,----,"5,120",Field,----,Keen Eye,Infiltrator,Competitive,----,Assist,Barrier,Trick,Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honedge,679,,,♂ 50%,♀ 50%,Steel,Ghost,"5,120",Mineral,----,No Guard,----,----,----,Destiny Bond,Wide Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doublade,680,,,♂ 50%,♀ 50%,Steel,Ghost,"5,120",Mineral,----,No Guard,----,----,----,Destiny Bond,Wide Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegislash,681,,,♂ 50%,♀ 50%,Steel,Ghost,"5,120",Mineral,----,Stance Change,----,----,----,Destiny Bond,Wide Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spritzee,682,,,♂ 50%,♀ 50%,Fairy,----,"5,120",Fairy,----,Healer,----,Aroma Veil,----,Captivate,Disable,Refresh,Wish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aromatisse,683,,,♂ 50%,♀ 50%,Fairy,----,"5,120",Fairy,----,Healer,----,Aroma Veil,----,Captivate,Disable,Refresh,Wish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swirlix,684,,,♂ 50%,♀ 50%,Fairy,----,"5,120",Fairy,----,Sweet Veil,----,Unburden,----,After You,Belly Drum,Copycat,Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slurpuff,685,,,♂ 50%,♀ 50%,Fairy,Psychic,"5,120",Fairy,----,Sweet Veil,----,Unburden,----,After You,Belly Drum,Copycat,Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inkay,686,,,♂ 50%,♀ 50%,Dark,Psychic,"5,120",Water 1,Water 2,Contrary,Suction Cups,Infiltrator,----,Camouflage,Destiny Bond,Flatter,Power Split,Simple Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malamar,687,,,♂ 50%,♀ 50%,Dark,Psychic,"5,120",Water 1,Water 2,Contrary,Suction Cups,Infiltrator,----,Camouflage,Destiny Bond,Flatter,Power Split,Simple Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binacle,688,,,♂ 50%,♀ 50%,Rock,Water,"5,120",Water 3,----,Tough Claws,Sniper,Pickpocket,----,Helping Hand,Switcheroo,Tickle,Water Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaracle,689,,,♂ 50%,♀ 50%,Rock,Water,"5,120",Water 3,----,Tough Claws,Sniper,Pickpocket,----,Helping Hand,Switcheroo,Tickle,Water Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skrelp,690,,,♂ 50%,♀ 50%,Poison,Water,"5,120",Water 1,Dragon,Poison Point,Poison Touch,Adaptability,----,Acid Armor,Haze,Play Rough,Toxic Spikes,Venom Drench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragalge,691,,,♂ 50%,♀ 50%,Poison,Dragon,"5,120",Water 1,Dragon,Poison Point,Poison Touch,Adaptability,----,Acid Armor,Haze,Play Rough,Toxic Spikes,Venom Drench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clauncher,692,,,♂ 50%,♀ 50%,Water,----,"3,840",Water 1,Water 3,Mega Launcher,----,----,----,Endure,Entrainment,Helping Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clawitzer,693,,,♂ 50%,♀ 50%,Water,----,"3,840",Water 1,Water 3,Mega Launcher,----,----,----,Endure,Entrainment,Helping Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helioptile,694,,,♂ 50%,♀ 50%,Electric,Normal,"5,120",Monster,Dragon,Dry Skin,Sand Veil,Solar Power,----,Agility,Camouflage,Electric Terrain,Glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heliolisk,695,,,♂ 50%,♀ 50%,Electric,Normal,"5,120",Monster,Dragon,Dry Skin,Sand Veil,Solar Power,----,Agility,Camouflage,Electric Terrain,Glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrunt,696,,,♂ 88.1%,♀ 11.9%,Rock,Dragon,"7,680",Monster,Dragon,Strong Jaw,----,Sturdy,----,Curse,Dragon Dance,Fire Fang,Ice Fang,Poison Fang,Thunder Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrantrum,697,,,♂ 88.1%,♀ 11.9%,Rock,Dragon,"7,680",Monster,Dragon,Strong Jaw,----,Rock Head,----,Curse,Dragon Dance,Fire Fang,Ice Fang,Poison Fang,Thunder Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaura,698,,,♂ 88.1%,♀ 11.9%,Rock,Ice,"7,680",Monster,----,Refrigerate,----,Snow Warning,----,Barrier,Discharge,Haze,Magnet Rise,Mirror Coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurorus,699,,,♂ 88.1%,♀ 11.9%,Rock,Ice,"7,680",Monster,----,Refrigerate,----,Snow Warning,----,Barrier,Discharge,Haze,Magnet Rise,Mirror Coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylveon,700,,,♂ 88.1%,♀ 11.9%,Fairy,----,"8,960",Field,----,Cute Charm,----,Pixilate,----,Captivate,Curse,Detect,Endure,Fake Tears,Flail,Natural Gift,Stored Power,Synchronoise,Tickle,Wish,Yawn,,,,,,,,,,,,,,,,,,,,,,,,
Hawlucha,701,,,♂ 50%,♀ 50%,Fighting,Flying,"5,120",Human-Like,----,Limber,Unburden,Mold Breaker,----,Agility,Ally Switch,Baton Pass,Entrainment,Me First,Mud Sport,Quick Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedenne,702,,,♂ 50%,♀ 50%,Electric,Fairy,"5,120",Field,Fairy,Cheek Pouch,Pickup,Plus,----,Covet,Eerie Impulse,Helping Hand,Natural Gift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbink,703,,,○,○,Rock,Fairy,"6,240",Fairy,Mineral,Clear Body,----,Sturdy,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goomy,704,,,♂ 50%,♀ 50%,Dragon,----,"10,240",Dragon,----,Sap Sipper,Hydration,Gooey,----,Acid Armor,Counter,Curse,Endure,Iron Tail,Poison Tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliggoo,705,,,♂ 50%,♀ 50%,Dragon,----,"10,240",Dragon,----,Sap Sipper,Hydration,Gooey,----,Acid Armor,Counter,Curse,Endure,Iron Tail,Poison Tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodra,706,,,♂ 50%,♀ 50%,Dragon,----,"10,240",Dragon,----,Sap Sipper,Hydration,Gooey,----,Acid Armor,Counter,Curse,Endure,Iron Tail,Poison Tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klefki,707,,,♂ 50%,♀ 50%,Steel,Fairy,"5,120",Mineral,----,Prankster,----,Magician,----,Iron Defense,Lock-On,Switcheroo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantump,708,,,♂ 50%,♀ 50%,Ghost,Grass,"5,120",Grass,Amorphous,Natural Cure,Frisk,Harvest,----,Bestow,Grudge,Imprison,Venom Drench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevenant,709,,,♂ 50%,♀ 50%,Ghost,Grass,"5,120",Grass,Amorphous,Natural Cure,Frisk,Harvest,----,Bestow,Grudge,Imprison,Venom Drench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkaboo,710,,,♂ 50%,♀ 50%,Ghost,Grass,"5,120",Amorphous,----,Pickup,Frisk,Insomnia,----,Bestow,Destiny Bond,Disable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gourgeist,711,,,♂ 50%,♀ 50%,Ghost,Grass,"5,120",Amorphous,----,Pickup,Frisk,Insomnia,----,Bestow,Destiny Bond,Disable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergmite,712,,,♂ 50%,♀ 50%,Ice,----,"5,120",Monster,----,Own Tempo,Ice Body,Sturdy,----,Barrier,Mirror Coat,Mist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalugg,713,,,♂ 50%,♀ 50%,Ice,Dragon,"5,120",Monster,----,Own Tempo,Ice Body,Sturdy,----,Barrier,Mirror Coat,Mist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noibat,714,,,♂ 50%,♀ 50%,Flying,Dragon,"5,120",Flying,----,Frisk,Infiltrator,Telepathy,----,Outrage,Snatch,Switcheroo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noivern,715,,,♂ 50%,♀ 50%,Flying,Dragon,"5,120",Flying,----,Frisk,Infiltrator,Telepathy,----,Outrage,Snatch,Switcheroo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xerneas,716,,,○,○,Fairy,----,"30,720",Undiscovered,----,Fairy Aura,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yveltal,717,,,○,○,Dark,Flying,"30,720",Undiscovered,----,Dark Aura,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zygarde,718,,,○,○,Dragon,Ground,"30,720",Undiscovered,----,Aura Break,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zygarde-10%,718,,,○,○,Dragon,Ground,"30,720",Undiscovered,----,Aura Break,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zygarde-Complete,718,,,○,○,Dragon,Ground,"30,720",Undiscovered,----,Aura Break,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diancie,719,,,○,○,Rock,Fairy,"6,240",Undiscovered,----,Clear Body,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Diancie,719,,,○,○,Rock,Fairy,"6,240",Undiscovered,----,Magic Bounce,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoopa,720,,,○,○,Psychic,Ghost,"30,720",Undiscovered,----,Magician,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unbound Hoopa,720,,,○,○,Psychic,Ghost,"30,720",Undiscovered,----,Magician,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcanion,721,,,○,○,Fire,Water,"30,720",Undiscovered,----,Water Absorb,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowlet,722,,,♂ 88.1%,♀ 11.9%,Grass,Flying,"3,840",Flying,----,Overgrow,----,Long Reach,----,Baton Pass,Confuse Ray,Curse,Defog,Haze,Ominous Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dartrix,723,,,♂ 88.1%,♀ 11.9%,Grass,Flying,"3,840",Flying,----,Overgrow,----,Long Reach,----,Baton Pass,Confuse Ray,Curse,Defog,Haze,Ominous Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decidueye,724,,,♂ 88.1%,♀ 11.9%,Grass,Ghost,"3,840",Flying,----,Overgrow,----,Long Reach,----,Baton Pass,Confuse Ray,Curse,Defog,Haze,Ominous Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litten,725,,,♂ 88.1%,♀ 11.9%,Fire,----,"3,840",Field,----,Blaze,----,Intimidate,----,Body Slam,Crunch,Fake Out,Heat Wave,Nasty Plot,Revenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torracat,726,,,♂ 88.1%,♀ 11.9%,Fire,----,"3,840",Field,----,Blaze,----,Intimidate,----,Body Slam,Crunch,Fake Out,Heat Wave,Nasty Plot,Revenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incineroar,727,,,♂ 88.1%,♀ 11.9%,Fire,Dark,"3,840",Field,----,Blaze,----,Intimidate,----,Body Slam,Crunch,Fake Out,Heat Wave,Nasty Plot,Revenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Popplio,728,,,♂ 88.1%,♀ 11.9%,Water,----,"3,840",Water 1,Field,Torrent,----,Liquid Voice,----,Amnesia,Aqua Ring,Aromatic Mist,Charm,Perish Song,Wonder Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brionne,729,,,♂ 88.1%,♀ 11.9%,Water,----,"3,840",Water 1,Field,Torrent,----,Liquid Voice,----,Amnesia,Aqua Ring,Aromatic Mist,Charm,Perish Song,Wonder Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primarina,730,,,♂ 88.1%,♀ 11.9%,Water,Fairy,"3,840",Water 1,Field,Torrent,----,Liquid Voice,----,Amnesia,Aqua Ring,Aromatic Mist,Charm,Perish Song,Wonder Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pikipek,731,,,♂ 50%,♀ 50%,Normal,Flying,"3,840",Flying,----,Keen Eye,Skill Link,Pickup,----,Boomburst,Brave Bird,Mirror Move,Tailwind,Uproar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trumbeak,732,,,♂ 50%,♀ 50%,Normal,Flying,"3,840",Flying,----,Keen Eye,Skill Link,Pickup,----,Boomburst,Brave Bird,Mirror Move,Tailwind,Uproar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toucannon,733,,,♂ 50%,♀ 50%,Normal,Flying,"3,840",Flying,----,Keen Eye,Skill Link,Sheer Force,----,Boomburst,Brave Bird,Mirror Move,Tailwind,Uproar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yungoos,734,,,♂ 50%,♀ 50%,Normal,----,"3,840",Field,----,Stakeout,Strong Jaw,Adaptability,----,Last Resort,Revenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gumshoos,735,,,♂ 50%,♀ 50%,Normal,----,"3,840",Field,----,Stakeout,Strong Jaw,Adaptability,----,Last Resort,Revenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grubbin,736,,,♂ 50%,♀ 50%,Bug,----,"3,840",Bug,----,Swarm,----,----,----,Electroweb,Endure,Harden,Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charjabug,737,,,♂ 50%,♀ 50%,Bug,Electric,"3,840",Bug,----,Battery,----,----,----,Electroweb,Endure,Harden,Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikavolt,738,,,♂ 50%,♀ 50%,Bug,Electric,"3,840",Bug,----,Levitate,----,----,----,Electroweb,Endure,Harden,Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crabrawler,739,,,♂ 50%,♀ 50%,Fighting,----,"5,120",Water 3,----,Hyper Cutter,Iron Fist,Anger Point,----,Amnesia,Endeavor,Superpower,Wide Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crabominable,740,,,♂ 50%,♀ 50%,Fighting,Ice,"5,120",Water 3,----,Hyper Cutter,Iron Fist,Anger Point,----,Amnesia,Endeavor,Superpower,Wide Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oricorio-Baile,741,,,♂ 25%,♀ 75%,Fire,Flying,"5,120",Flying,----,Dancer,----,----,----,Pluck,Tailwind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oricorio-PomPom,741,,,♂ 25%,♀ 75%,Electric,Flying,"5,120",Flying,----,Dancer,----,----,----,Pluck,Tailwind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
